ID,記事ID,文番号,述語,述語位置,本文切り抜き,語義,コメント
21069,911145490,15,味わっ,50,「おか,00015990-4_0-0-3-0-0,「気分」は感情でいいのか？
21114,911145491,4,想像さ,27,という,15007150-2_0-0-1-0-0,
21136,911145491,13,継ぐ,19,家康の,17032790-2_0-0-1-0-0,
21146,911145491,17,劣る,10,「われ,03022310-2_0-0-1-0-0,
21187,911145491,30,漂う,43,これを,16022380-5_0-0-4-0-0,
21192,911145491,34,名乗っ,19,出雲出,20012520-2_0-0-1-0-0,この「名乗る」は「自分の名や身分を他人に向かって言う」だと思うので、29832にした。
21228,911145491,45,名乗る,3,阿国を,-1,「自分がその当人であることを申し出る」の意味だと思ったので、Unknownにした。
21268,911145492,8,売り出さ,28,８８年,02017500-2_1-0-1-0-0,
21268,911145492,8,売り出さ,28,８８年,-3,
21367,911145494,2,生活し,22,仕方が,14002260-3_0-0-2-0-0,
21486,911145499,1,寝る,45,歯磨き,20042800-4_0-0-3-0-0,
21495,911145500,0,遊ん,18,隣の３,00017440-2_0-0-1-0-0,
21590,911145505,16,ウズ巻く,23,中央が,-1,「渦巻く」全体の語義もあったが、「入り乱れて収拾がつかなくなる」のような語義がなかったので、Unknownにした。ガ格は、状況と状態どちらに該当するのか分からなかった。また、「ねじれ」は、サ変名詞ではないが、対象（事態）にしていいと思った。
21590,911145505,16,ウズ巻く,23,中央が,-3,
21605,911145505,22,展望する,28,首相の,18025920-3_0-0-2-0-0,
21677,911145507,2,見越し,44,このた,25021510-3_0-0-2-0-0,
21677,911145507,2,見越し,44,このた,-3,
21683,911145508,2,見極め,9,「とり,25021030-2_0-0-1-0-0,
21683,911145508,2,見極め,9,「とり,-3,
21699,911145509,4,観測し,28,パソコ,05032740-2_0-0-1-0-0,
21839,911145514,0,合わせ,22,今春、,-1,ニ格を着点ではなく、基準点にしたが、よかったか？
21861,911145514,6,組織し,15,計画で,15016030-2_0-0-2-0-0,
21890,911155408,2,稼い,11,中内氏,-1,この「稼ぐ」は「輸出で外貨を稼ぐ」の「稼ぐ」と同じで、「働いて収入を得る」とは違うと思ったので、Unknownにした。
21921,911155409,8,交え,20,妥協案,25006330-2_0-0-1-0-0,
21932,911155409,11,刺し,35,さらに,-2,
21956,911155411,2,出馬する,55,同知事,12015920-5_0-0-4-0-0,
22031,911155413,20,並行さ,5,全面軍,24001860-1_0-0-0-0-0,
22076,911155413,33,合わせる,16,憲法と,00033600-3_0-0-2-0-0,
22120,911155414,14,吸収し,15,旧野党,06027950-2_0-0-1-0-0,ガ格は、動作主か？経験者か？
22127,911155414,17,吸収し,16,線引き,06027950-2_0-0-1-0-0,ガ格は、動作主でよかったか？経験者か？
22135,911155414,21,特定し,0,特定し,19019600-1_0-0-1-0-0,｢同党」とは、「共産党」のこと。
22173,911155414,37,吸収さ,4,旧野党,06027950-2_0-0-1-0-0,ガ格は、動作主でよかったか？経験者か？
22309,911155417,0,埋まら,56,村山富,-1,
22342,911155417,8,埋まり,11,この点,-1,
22368,911155418,3,合わせ,43,常任理,00033600-2_0-0-1-0-0,「三七・三％」にヲ格をつけたが、これを程度にしていいのか迷った。
22422,911155420,1,割れ,49,新聞な,29009220-2_0-0-1-0-0,
22425,911155420,2,兼ね,22,我が家,05007990-2_1-0-1-0-0,
22431,911155420,4,割れ,14,国は国,29009220-4_0-0-2-1-0,
22432,911155420,4,割れ,22,国は国,29009220-2_0-0-1-0-0,
22522,911155423,9,思い込み,12,自分た,03027270-2_0-0-1-0-0,
22522,911155423,9,思い込み,12,自分た,-3,
22536,911155424,3,名乗る,15,これは,20012520-3_0-0-2-0-0,
22647,911155427,16,傷つけ,16,政策に,06012670-4_0-0-3-0-0,このガ格は、一応「傷つける」意図があったとして、動作主にしたが、よかったか？

22651,911155427,17,突い,20,サッチ,17032740-7_0-0-6-0-0,相手の弱点を攻めているから。
22665,911155428,1,盗ま,14,昨年末,20035890-2_0-0-1-0-0,
22701,911155428,20,合わせ,26,四年前,00033600-2_0-0-1-0-0,「合わせる」のは、「アンヘラさんとフランシスコさん」だが、このガ格はあまり意味がないようなので、外界一般にした。
22706,911155428,21,絶え,20,とどま,16013940-2_0-0-1-0-0,慣用句かと思ったが、慣用句辞典に載ってなかった。また、大辞林で、｢人通りが絶える」の語義が、「続いていた物事が途中で切れる」になっていたので、23482にした。
22840,911155436,1,盗ま,37,国連難,20035890-2_0-0-1-0-0,
22867,911155438,4,収録さ,31,さきに,12009930-2_0-0-1-0-0,
22954,911155441,6,収録し,39,第二部,12009930-2_0-0-1-0-0,
22972,911155442,6,詰まっ,28,このよ,17038890-2_0-0-1-0-0,
23099,911155447,4,出会い,46,河口近,18001350-3_0-0-2-0-0,ニ格は、結果物かと思ったが、結果物はないので、対象（事態）にした。語義を26559にしたが、よかったか？
23136,911155448,5,勤め,10,編集長,17036650-2_0-0-1-0-0,
23158,911155448,9,収録さ,33,「それ,12009930-2_0-0-1-0-0,ヲ格は｢方たち」にしているが、実際は｢方たちの著作」だと思うので、「対象（人）」ではなく、「対象」にしている。
23191,911155449,1,作り出し,65,「五〇,17033420-4_0-0-3-0-0,
23191,911155449,1,作り出し,65,「五〇,-3,
23305,911155455,1,余っ,2,勢い余,00026970-4_0-0-3-0-0,前回は、この語義がなかったので、Unknownにしていたが、この語義が増えたので、修正する
23306,911155455,1,座っ,14,勢い余,13022810-2_0-0-1-0-0,「土俵下」は、着点（場所）にしたが、よかったか？
23307,911155455,1,転落し,24,勢い余,18026510-2_0-0-1-0-0,他人のひざでも、「着点（身体部分）」に該当するのか？
23419,911155458,7,抜け,14,カウン,20035550-8_0-0-2-0-0,
23422,911155458,7,合わせ,56,カウン,-1,
23441,911155458,13,倒し,19,高校最,16014010-4_0-0-3-0-0,
23506,911155459,17,倒し,17,奈良育,16014010-4_0-0-3-0-0,
23532,911155461,2,詰まっ,10,皮が薄,17038890-2_0-0-1-0-0,
23604,911155463,0,受賞し,68,福岡市,12013540-1_0-0-0-0-0,
23606,911155463,1,受賞し,34,日本部,12013540-1_0-0-0-0-0,
23683,911155466,22,伸びれ,9,平尾選,20050440-5_0-0-4-0-0,
23686,911155467,0,受け付け,50,毎日新,02004370-2_0-0-1-0-0,
23726,911155473,0,傾い,58,沖縄県,04040240-5_0-0-4-0-0,
23731,911155473,2,刺さ,20,名護署,-1,ヲ格に該当するものが、文章中に出てこないので、対象（人）か対象（身体部分）かがわからないので、対象にした
23761,911155473,15,誘っ,51,これま,10017920-2_0-0-1-0-0,「子」は本当はニ格ではなく、ヲ格だが、文章の格を優先するので、仕方なくニ格にする。したがって、岡山大の意味役割も｢付与なし」とかつけない。（格の付け方が間違っていて、データにならないから）
23767,911155474,2,付い,30,今日も,17032600-5_1-0-1-3-0,ニ格の「来襲せり」は、前文の文末
23821,911155478,12,計算し,23,選管は,08003580-3_0-0-2-0-0,
23989,911155486,6,切断し,16,また関,14019800-1_0-0-0-0-0,
23999,911155486,8,脅さ,74,一方、,03021640-2_0-0-1-0-0,
24001,911155486,8,手伝っ,85,一方、,18013280-2_1-0-0-0-0,
24025,911155487,1,浴びせ,39,ロシア,00024010-3_0-0-2-0-0,「浴びる」の語義1117（「多くの物、特に光や煙やちりなどを集中的に受ける」）に該当する。
24025,911155487,1,浴びせ,39,ロシア,-4,
24039,911155487,5,裏付け,73,ロシア,02016430-3_0-0-2-0-0,
24065,911155489,0,合わせ,54,政府筋,-1,
24077,911155489,5,組み合わせ,34,閣僚会,07015550-3_0-0-2-0-0,
24126,911155491,12,付い,3,金具が,17032600-5_1-0-1-3-0,
24164,911155491,24,流行し,8,１５年,28014660-3_0-0-2-0-0,新しい様式だと思ったので、43444にしたが、33153にすべきか？
24170,911155491,25,付い,32,魚の形,17032600-5_1-0-1-3-0,
24203,911155492,5,漂う,15,同じ無,16022380-5_0-0-4-0-0,ガ格に対象（事態）をつけてよかったか？また、「客と職人との間」は場所ではなく、該当するものがなかったので、その他にした。
24209,911155492,7,通し,60,「まだ,19014420-6_1-0-1-3-0,
24255,911155493,1,合わせ,15,実は生,00033600-3_0-0-2-0-0,
24288,911155493,15,取り付け,17,捕チョ,19035120-2_0-0-1-0-0,
24402,911155502,0,伸び,16,新日鉄,20050440-5_0-0-4-0-0,
24412,911155502,2,製造する,31,合弁会,14007320-2_0-0-1-0-0,後の文章に「生産規模は年間二万トン」ってあるから、21335にしたが、「素材の鋼板」とか出てきているから、21336でもいいような気がする。
24421,911155503,2,撤退し,68,同副首,18013260-1_0-0-0-0-0,
24465,911155505,7,スケールアップし,73,客席は,-3,
24465,911155505,7,スケールアップし,73,客席は,00020510-1_0-0-1-0-0,述語は「スケール・アップする」全体で考えたので、ヲ格は「座席」にした。「アップする」だけで考えた場合には、「スケールをアップする」になるが、今はしない。また、今までは、「外界一般が座席を九五センチにスケールアップする」にしていたが、「座席が九五センチにスケールアップする｣に変更した。
24639,911155509,15,乗せ,28,また床,20048720-3_0-0-2-0-0,
24639,911155509,15,乗せ,28,また床,-4,述語「乗せる」のガ格は、文章から見たら「曲立体」だが、これは、「曲立体を乗せる」の間違いと考えて、「乗る」のガ格を「曲立体」にする。
24641,911155509,15,味わう,56,また床,00015990-3_0-0-2-0-0,「特異さ」は状態にしたが、よかったのか？
24681,911155511,0,巻い,5,写真で,25004210-3_0-0-2-0-0,
24693,911155511,2,振り回さ,57,ナラダ,23031150-5_0-0-4-0-0,
24693,911155511,2,振り回さ,57,ナラダ,-3,
24702,911155511,8,振り回す,7,荻野目,23031150-5_0-0-4-0-0,
24702,911155511,8,振り回す,7,荻野目,-3,
24723,911155511,14,作り出し,109,「結局,17033420-4_0-0-3-0-0,「音楽」を生成物にしたが、よかったか？「対象」なのか迷った。
24723,911155511,14,作り出し,109,「結局,-3,
24730,911155511,15,巻き,39,ナラダ,25004210-3_0-0-2-0-0,
24730,911155511,15,巻き,39,ナラダ,-3,
24745,911155512,0,歌い継が,23,ミュー,-3,
24745,911155512,0,歌い継が,23,ミュー,-1,25976の「絶やさずにそのままの状態を保つ」にしていたが、やっぱり違うと思うので、　Unknownにした。また、「歌い継ぐ」ことに意思はないと思ったので、経験者にした。
24836,911155515,5,出会い,26,若き剣,18001350-2_0-0-1-0-0,
24884,911155517,4,売り出し,19,病院側,02017500-2_1-0-1-0-0,
24884,911155517,4,売り出し,19,病院側,-3,
24923,911155518,9,慣れ,54,これま,20017130-2_0-0-1-0-0,
24995,911155521,4,受け付け,44,事故調,02004370-2_0-0-1-0-0,
25083,911155525,2,同行し,15,三日早,19005530-3_0-0-2-0-0,「三人」と「二人」に主従関係はないが、27754の方がいいと思った。
25089,911155526,0,脅し,80,九日午,03021640-2_0-0-1-0-0,
25112,911155528,1,合わせ,24,東京都,00033600-2_0-0-1-0-0,
25161,911155531,0,組織する,17,全国の,15016030-2_0-0-2-0-0,デ格が、ガ格の役割を果たしているので、ガ格に意味役割はない。なので、動作主ではなく、その他にする。
25305,911155535,9,知り合う,36,糠谷さ,12049390-1_0-0-0-0-0,
25305,911155535,9,知り合う,36,糠谷さ,-3,
25318,911155537,0,捜査し,36,昨年九,15004580-3_0-0-2-0-0,
25409,911155541,11,更新し,22,その後,09014180-3_0-0-2-0-0,
25433,911155541,17,合わせ,54,しかし,-1,
25556,911165408,4,預け,8,財産を,-1,715の「人に頼んで、物の保管や世話をしてもらう」にしていたが、「預金・貯金をする」は、715の語義とはちょっと違うと思ったので、Unknownにした。
25574,911165408,8,引き受け,61,日本信,22004500-2_0-0-1-0-0,「増資を引き受ける」は「有価証券の発行に際し、その証券を取得する契約を結ぶこと」だと思ったので、Unknownにしていたが、「受け持つことを承知する」に「負担する」の意味が含まれていると思うので、変更した
25574,911165408,8,引き受け,61,日本信,-3,
25628,911165410,0,売り出さ,47,輸入が,02017500-2_1-0-1-0-0,デ格が、ガ格の役割を果たしているので、ガ格に意味役割はない。なので、動作主ではなく、その他にする。
25628,911165410,0,売り出さ,47,輸入が,-3,
25733,911165413,5,連ね,31,新党推,17040950-3_0-0-2-0-0,
25748,911165413,10,覚悟し,11,「準備,04021660-3_0-0-2-0-0,
25789,911165415,17,整え,2,数を整,19027490-3_0-0-2-0-0,当初Unknownにしていたが、28608でもいいと思ったので、28608にした。
25827,911165415,37,漂う,13,そこに,16022380-5_0-0-4-0-0,「野心」は対象にしたが、感情にしなくていいか？「そこ」は、「（微妙な）違い」のことなので、場所にせず、その他にした。
25852,911165416,0,広まっ,59,社会党,22031800-3_0-0-2-0-0,「警戒感」を「感情」にしなかった。
25942,911165420,4,出馬し,23,同知事,12015920-5_0-0-4-0-0,
25987,911165423,1,観測さ,30,南極の,05032740-2_0-0-1-0-0,
25995,911165423,5,観測さ,19,過去、,05032740-2_0-0-1-0-0,
26069,911165424,10,収集し,49,特に榎,12004990-3_0-0-2-0-0,
26116,911165426,2,犯し,36,特別報,03009680-2_0-0-1-0-0,｢暴力」は、サ変名詞ではないので、「対象（事態）」にしない。

26130,911165427,0,展望し,74,村山富,18025920-3_0-0-2-0-0,「関係」はサ変名詞であっても、対象（事態）はつけない。
26215,911165429,10,緩める,0,緩める,27024020-2_0-0-1-0-0,語義は、Unknownにすべきか？
26344,911165429,55,注意する,5,体のけ,17011250-3_0-0-2-0-0,語義を23122にするかで、迷った。
26458,911165432,5,吸収し,9,次に、,06027950-4_0-0-3-0-0,
26596,911165436,3,脅さ,38,人間が,03021640-2_0-0-1-0-0,
26608,911165436,5,注意し,60,そのあ,17011250-4_0-0-3-0-0,ガ格は、一応「人間」と書いたが、本当は「人間」にしないほうがいい。
26612,911165436,6,降り,16,また、,03031230-4_0-0-1-2-0,
26613,911165436,6,眠る,22,また、,20042180-2_0-0-1-0-0,
26673,911165438,7,補う,3,支出を,03010830-2_0-0-1-0-0,ヲ格を対象（事態）にしたが、事態というよりは、結果物っぽいが。
26713,911165440,2,明け,16,十二月,00011960-3_0-0-2-0-0,
26921,911165443,6,消滅し,37,１９４,12037750-1_0-0-0-0-0,
26946,911165444,10,寝,33,具合が,20042800-5_0-0-4-0-0,31153でもいいと思うが、「具合が悪い」という原因があって、「寝ている」ので、31154にした
26981,911165444,22,緊張さ,107,「ＮＡ,06054290-3_0-0-2-0-0,
26982,911165444,22,後退さ,115,「ＮＡ,09016800-3_0-0-2-0-0,
26988,911165444,24,合わせ,24,フロリ,-1,
27004,911165445,2,終結し,28,ジッダ,12003670-1_0-0-1-0-0,「攻勢」は、機能動詞を伴うと事態性名詞といえそうなのだが、この場合は機能動詞をもたないので、事態性名詞と言えないかもしれないが、｢対象」にするより、｢対象（事態）」にした方がいいと思ったので、「対象（事態）」にしておく。
27008,911165445,2,整えよ,74,ジッダ,19027490-3_0-0-2-0-0,
27068,911165451,1,組織し,17,この集,15016030-2_0-0-2-0-0,
27156,911165456,10,攻撃する,32,すでに,09009240-2_0-0-1-0-0,
27164,911165457,0,祝っ,90,第二次,01033270-2_0-0-1-0-0,
27199,911165461,0,下落し,63,東証の,08016820-2_0-0-1-0-0,
27200,911165461,1,更新し,31,一九四,09014180-2_0-0-1-0-0,
27217,911165463,1,付い,45,横幅が,17032600-5_1-0-1-3-0,
27253,911165466,1,刺し,73,また社,-2,
27299,911165470,10,知り合っ,68,一九七,12049390-1_0-0-0-0-0,
27299,911165470,10,知り合っ,68,一九七,-3,
27370,911165474,2,閉鎖さ,27,この基,24001980-3_0-0-2-0-0,
28093,911165508,4,知り合っ,24,この知,12049390-1_0-0-0-0-0,
28093,911165508,4,知り合っ,24,この知,-3,
28140,911165510,2,拘束する,7,清沢氏,09016440-1_0-0-0-0-0,
28219,911165514,0,誘わ,54,「今年,10017920-3_0-0-2-0-0,
28223,911165514,1,合わせる,19,「薄日,-2,「合わせる」で該当する語義がなかったので、慣用句にした。
28239,911165514,5,合わせ,59,今春、,-2,「合わせる」で該当する語義がなかったので、慣用句にした。
28265,911165516,5,討議する,36,結果に,19004230-1_0-0-0-0-0,デ格で事足りるので、ガ格はその他にした。
28281,911165517,4,拘束し,48,「マレ,09016440-1_0-0-0-0-0,「目標年次」は、決定内容ではない。
28337,911165517,22,注文する,71,駐日米,17014630-3_0-0-2-0-0,
28369,911165519,3,引き受ける,24,宇野前,22004500-2_0-0-1-0-0,ヲ格を「関経連副会長」とはせずに、外界一般にした。意味役割は、外界一般であっても、役割でいいと思う。
28369,911165519,3,引き受ける,24,宇野前,-3,
28408,911165520,6,預け,37,前後賞,-1,715の「人に頼んで、物の保管や世話をしてもらう」にしていたが、「預金・貯金をする」は、715の語義とはちょっと違うと思ったので、Unknownにした。
28452,911165525,0,表示し,45,近畿の,22026630-3_0-0-2-0-0,ニ格はなくてもいいと思った。
28459,911165525,3,表示し,47,滋賀県,22026630-3_0-0-2-0-0,ニ格はなくてもいいと思った。
28479,911165525,9,表示し,39,国の各,22026630-3_0-0-2-0-0,ニ格はなくてもいいと思った。
28573,911165535,0,刺さ,36,九日午,-1,
28577,911165535,1,刺さ,22,男性は,-1,
28581,911165535,3,刺さ,8,調べで,-1,
28584,911165535,4,名乗っ,13,男性は,20012520-2_0-0-1-0-0,
28588,911165536,0,抜け,26,「大リ,20035550-7_0-0-1-5-0,「新春気分」は、対象にも感情にもしないで、状態にしたが、よかったか？
28588,911165536,0,抜け,26,「大リ,-3,
28639,911165536,8,プレーし,43,日本人,23033530-2_0-0-2-0-0,
28775,911165542,0,落ち込ん,60,浜本万,03018300-4_0-0-3-0-0,ガ格の「就職内定状況」を対象にしたが、｢状況｣もしくは｢状態」か？
28799,911165543,2,合流する,69,また、,09024070-3_0-0-2-0-0,
28976,911165548,7,囲む,41,昼にな,04029070-1_0-0-0-0-0,
28978,911165548,8,想像し,30,最高権,15007150-3_0-0-2-0-0,語義があっているのか自信がない。
29051,911165550,2,通し,8,真ん中,19014420-5_1-0-1-2-0,
29060,911165550,5,慣れれ,0,慣れれ,20017130-3_0-0-2-0-0,
29074,911165550,10,合わせ,4,ＴＰＯ,00033600-3_0-0-2-0-0,
29082,911165550,12,合わせ,31,春から,00033600-3_0-0-2-0-0,
29140,911165552,8,取り付け,50,休戦は,19035120-4_0-0-3-0-0,
29224,911165559,5,組み合わせ,53,「小笠,07015550-3_0-0-2-0-0,「料理」を「生成物」にしていたが、対象にした。
29247,911165559,11,付い,26,値段＝,17032600-5_1-0-1-3-0,着点のニ格に該当するものが、ハ格で係っているので、ニ格はつけない。
29289,911165560,12,連ね,40,▼今で,17040950-2_0-0-1-0-0,｢軒を連ねる」は、一応慣用句になるので、動詞項構造シソーラス通り、対象をつけて、慣用もつける。
29322,911165561,5,抜け,26,キセル,20035550-3_0-0-1-1-0,
29388,911165563,3,手伝っ,19,同市教,18013280-2_1-0-0-0-0,
29403,911165564,3,緊張し,61,制服姿,06054290-2_0-0-1-0-0,
29474,911165569,2,カバーする,61,海底地,-1,｢広域」は最初範囲にしていたが、対象に変更した。
29570,911165573,6,満ち,10,最近の,-3,
29570,911165573,6,満ち,10,最近の,25026420-3_0-0-2-0-0,「満ちあふれる」で「あふれそうなほどである」の意味だが、「いっぱいなって、あふれる」なので、39654にした。39653と39655も考えられるが、39654にしておく。
29597,911165574,1,降りよ,0,降りよ,03031230-6_0-0-2-0-0,
29606,911165575,1,兼ねる,29,特別競,05007990-2_1-0-1-0-0,
29620,911165576,1,犯さ,15,川本清,03009680-2_0-0-1-0-0,
29640,911165577,2,食う,9,失職し,07001580-2_0-0-1-0-0,「食うや食わず」で慣用句だが、「ご飯を食べる」の意味もあるので、11407にした。
29641,911165577,2,食わ,12,失職し,07001580-2_0-0-1-0-0,「食うや食わず」で慣用句だが、「ご飯を食べる」の意味もあるので、11407にした。
29654,911165577,6,勤め,12,コンピ,17036650-2_0-0-1-0-0,
29661,911165577,7,思い込ん,36,失業を,03027270-2_0-0-1-0-0,
29661,911165577,7,思い込ん,36,失業を,-3,
29674,911165578,2,寝,22,一階居,20042800-4_0-0-3-0-0,
29754,911165581,3,閉鎖さ,47,旧大阪,24001980-3_0-0-2-0-0,
29760,911165581,5,施行し,45,大阪市,11012820-2_0-0-1-0-0,
29783,911165582,3,傾く,18,シャッ,04040240-3_0-0-2-0-0,
29823,911165583,14,寝る,12,激しく,20042800-4_0-0-3-0-0,
29886,911165586,1,遊ん,25,著者の,00017440-3_0-0-2-0-0,
29911,911165586,10,落ち込ま,43,「でも,03018300-5_0-0-4-0-0,
29952,911165588,6,厳重注意し,8,市は安,17011250-4_0-0-3-0-0,
29989,911165590,4,食っ,72,同い年,07001580-2_0-0-1-0-0,
30060,911165595,1,乗せ,10,地元の,20048720-2_0-0-1-0-0,
30060,911165595,1,乗せ,10,地元の,-4,
30065,911165595,3,乗り込ん,56,途中、,20052620-2_0-0-1-0-0,
30065,911165595,3,乗り込ん,56,途中、,-3,
30074,911165596,0,脅し,76,十日午,03021640-2_0-0-1-0-0,
30093,911175408,1,独占管理し,25,現在は,05037820-2_0-0-1-0-0,
30093,911175408,1,独占管理し,25,現在は,-3,
30135,911175410,0,大流行する,13,インフ,28014660-2_0-0-1-0-0,
30139,911175410,2,混合流行し,25,Ａ香港,28014660-2_0-0-1-0-0,
30139,911175410,2,混合流行し,25,Ａ香港,-3,
30141,911175410,2,流行する,53,Ａ香港,28014660-2_0-0-1-0-0,
30174,911175410,14,感染し,16,「一度,05032300-3_0-0-2-0-0,
30175,911175410,14,同時感染する,30,「一度,05032300-2_0-0-1-0-0,
30182,911175410,15,大流行し,11,最近、,28014660-2_0-0-1-0-0,
30308,911175420,0,施行さ,38,「民主,11012820-3_0-0-2-0-0,
30446,911175429,10,連ね,37,発起人,17040950-3_0-0-2-0-0,ニ格は、対象ではなく、着点にしたがよかったか？
30482,911175429,21,攻撃さ,35,ある幹,09009240-3_0-0-2-0-0,
30487,911175429,22,割れる,38,自民党,29009220-6_0-0-3-0-0,「組織」を対象にしたが、変化前になるのか？
30544,911175429,39,転落し,17,しかし,18026510-3_0-0-2-0-0,
30587,911175431,2,証明し,26,その影,12037720-2_0-0-1-0-0,
30683,911175431,34,脅かし,57,ＰＣＢ,03024470-3_0-0-2-0-0,
30717,911175432,1,遊ん,57,投稿者,00017440-2_0-0-1-0-0,
30729,911175432,4,遊ん,59,近くに,00017440-2_0-0-1-0-0,
30748,911175433,3,座っ,35,彼女た,13022810-2_0-0-1-0-0,
30803,911175435,2,漂っ,26,一年の,16022380-4_0-0-3-0-0,このニ格は、必須格か？
30951,911175440,8,合わせ,8,アメリ,00033600-3_0-0-2-0-0,
30964,911175441,0,樹立し,34,ロシア,12018030-1_0-0-0-0-0,
31268,911175449,16,当て,40,米政府,-1,この「当てる」は、993の「当てはめる」の意味でもいいと思ったが、この語義は、付加する意味があるので、この場合には当てはまらないと思ったので、Unknownにした。また、ニ格は、着点か対象（事態）か迷ったが、対象（事態）にした。
31313,911175452,4,樹立し,15,五〇年,12018030-1_0-0-0-0-0,
31316,911175452,5,樹立し,28,その後,12018030-1_0-0-0-0-0,
31348,911175455,4,着く,29,セナト,17032690-2_0-0-1-0-0,
31452,911175459,5,統合し,40,ガース,19005470-1_0-0-0-0-0,
31529,911175467,3,合わせ,21,今後、,00033600-2_0-0-1-0-0,
31536,911175467,6,認可さ,7,今回の,20032510-3_0-0-2-0-0,
31544,911175467,7,合わせ,53,なお、,00033600-2_0-0-1-0-0,
31547,911175467,8,売り出さ,35,売り切,02017500-2_1-0-1-0-0,
31547,911175467,8,売り出さ,35,売り切,-3,
31550,911175467,8,組み合わせ,73,売り切,07015550-3_0-0-2-0-0,
31570,911175468,5,内定する,50,また、,20002470-1_0-0-0-0-0,
31698,911175477,2,勤める,9,東京・,17036650-2_0-0-1-0-0,
31724,911175477,10,流行し,1,「流行,21035540-1_0-0-0-0-0,様式は関係がないと思ったので、33153にした。
31765,911175479,2,照らし合わせ,16,昨日、,18017440-1_0-0-0-0-0,
31765,911175479,2,照らし合わせ,16,昨日、,-3,
31806,911175480,0,流行し,25,男だっ,21035540-1_0-0-0-0-0,様式は関係がないと思ったので、33153にした。
31814,911175480,4,売り出し,23,先月初,02017500-2_1-0-1-0-0,
31814,911175480,4,売り出し,23,先月初,-3,
31905,911175483,4,余っ,11,目標を,00026970-4_0-0-3-0-0,前回は、この語義がなかったので、Unknownにしていたが、この語義が増えたので、修正する
31926,911175483,12,味わっ,42,武双山,00015990-4_0-0-3-0-0,
32023,911175488,4,受賞し,12,アジア,12013540-1_0-0-0-0-0,
32049,911175488,11,断ち切る,31,「作品,16023200-4_0-0-3-0-0,23876と迷った。
32049,911175488,11,断ち切る,31,「作品,-3,
32064,911175488,15,遂げ,77,審査員,19021100-3_0-0-2-0-0,「歩み」は｢動き」と同様に扱って、対象（事態）」にしたが、よかったか？
32190,911175494,0,脅し,59,十日午,03021640-2_0-0-1-0-0,
32225,911175497,1,撃た,8,いずれ,02010990-2_0-0-1-0-0,
32229,911175497,4,浮い,26,別海町,02003790-2_0-0-1-0-0,
32240,911175497,6,撃た,23,左胸に,02010990-2_0-0-1-0-0,
32269,911175499,1,預け,89,調べに,00016270-2_0-0-1-0-0,
32285,911175500,2,並行する,26,手紙を,24001860-1_0-0-0-0-0,このニ格に基準点をつけているのは、間違いなのか？
32375,911175503,0,ラベル表示さ,121,埼玉県,22026630-3_0-0-2-0-0,「ラベル」は、着点（場所）にしていいのか迷った。
32400,911175504,3,敷か,36,十日午,11010970-5_1-0-4-0-0,
32410,911175504,5,励まし,93,金沢発,21015950-2_0-0-1-0-0,
32491,911175508,15,注意さ,50,今回の,17011250-4_0-0-3-0-0,ニ格は、着点（人）でもいいかも。また語義は、「側から用心を促すこと」と思ったので、25124にした。
32496,911175508,15,推測し,95,今回の,13003300-1_0-0-0-0-0,
32537,911175508,28,気付い,12,しかし,06016250-2_0-0-1-0-0,
32615,911175515,6,競っ,29,他のＡ,06014040-1_0-0-0-0-0,
32623,911175515,10,競う,13,なぜ、,06014040-1_0-0-0-0-0,ヲ格「自由化」は目標にしていいと思ったが、どうか？
32712,911175519,0,流行し,8,平安時,21035540-1_0-0-0-0-0,様式は関係がないと思ったので、33153にした。
32715,911175519,0,再現さ,57,平安時,10003050-1_0-0-0-0-0,
32726,911175519,3,遊ん,49,打毬は,00017440-2_0-0-1-0-0,
32734,911175519,5,再現する,71,日本書,10003050-1_0-0-0-0-0,
32816,911175524,5,励まし,93,金沢発,21015950-2_0-0-1-0-0,
32829,911175524,6,座り,63,同じバ,13022810-2_0-0-1-0-0,
32919,911175530,2,脅し,5,銀行員,03021640-2_0-0-1-0-0,
33024,911175537,6,施行する,49,一方、,11012820-2_0-0-1-0-0,
33114,911175541,9,座っ,11,国会答,13022810-2_0-0-1-0-0,この場合、ニ格に該当するものがイスであることがわかるので、外界一般にニ格をつけた。
33133,911175542,0,生活し,5,イタリ,14002260-3_0-0-2-0-0,
33206,911175543,3,売り出す,55,「フラ,02017500-4_2-0-0-0-0,
33206,911175543,3,売り出す,55,「フラ,-3,
33313,911175545,0,製造し,23,国際原,14007320-3_0-0-2-0-0,
33382,911175552,1,連ね,21,フジモ,17040950-3_0-0-2-0-0,
33471,911175558,1,知り合っ,6,二十五,12049390-1_0-0-0-0-0,
33471,911175558,1,知り合っ,6,二十五,-3,
33503,911175559,3,継い,5,祖父の,17032790-2_0-0-1-0-0,
33557,911175560,0,売り出さ,19,ヒトの,02017500-2_1-0-1-0-0,
33557,911175560,0,売り出さ,19,ヒトの,-3,
33565,911175560,5,囲ま,14,「身に,04029070-1_0-0-0-0-0,
33566,911175560,5,満ち,44,「身に,25026420-5_0-0-4-0-0,ガ格は、「誰」かと思ったので、経験者にした。また、｢自信」は感情にしたが、よかったか？
33811,911175567,1,拘束さ,82,オース,09016440-1_0-0-0-0-0,
33837,911175569,2,乗り込み,26,同社は,20052620-2_0-0-1-0-0,
33837,911175569,2,乗り込み,26,同社は,-3,
